tweets,label,polarity
tuhan orang tua tau gaksih anak kuliah online,Netral,0
punten akang teteh fpips bikin surat terang kuliah pas online hubungin mana ya terima kasih upi,Netral,0
sobat bsi daftar kuliah ajar khawatirpmb gelombang buka tanggal desember daftar online aplikasi pmb ubsi unduh google playstore link,Netral,0
fess malu laku kuliah online me tengah kuliah bab paksa deh bawa handphone toilet ceroboh lupa mati mikrofon aplikasi zoom dosen teman dengar suara edenan amp kentut,Negatif,-1
terima mahasiswa pmb ubsi kuliah maret sobat bsi daftar online aplikasi pmb ubsi unduh google playstore pilih layan offline kampus dekat,Netral,0
wkwk love hate relationship banget kuliah online jujur,Netral,0
sakit windows nih coba shutdown tunggu menit nyala restart stabil kuliah online saran pakai kabel lan ya rumah pasang wifi pakai sambung hotspot via usb wifi nya smartphone,Negatif,-1
bisnis sekolah kuliah ngantor online shop produk pin fda wa,Netral,0
ria ricis jalan wisuda online pandemi covid,Netral,0
singkat gue kuliah offline uji online,Netral,0
online kuliah maksud,Netral,0
akibat kuliah online kepala ku zoom,Negatif,-1
hati dalam kuliah online,Netral,0
